iter	Passed	Remaining
267	5573	4180
268	5586	4153
269	5606	4132
270	5616	4103
271	5625	4074
272	5634	4044
273	5658	4027
274	5659	3992
275	5686	3976
276	5706	3955
277	5728	3935
278	5737	3907
279	5759	3887
280	5780	3867
281	5790	3839
282	5796	3809
283	5821	3792
284	5847	3775
285	5873	3758
286	5894	3738
287	5921	3721
288	5945	3702
289	5972	3686
290	5996	3667
291	6005	3640
292	6030	3622
293	6056	3605
294	6079	3585
295	6101	3566
296	6124	3546
297	6146	3526
298	6147	3495
299	6172	3477
300	6197	3459
301	6198	3427
302	6220	3407
303	6245	3389
304	6267	3370
305	6285	3348
306	6310	3330
307	6338	3313
308	6369	3298
309	6397	3281
310	6426	3264
311	6452	3246
312	6476	3227
313	6499	3208
314	6508	3181
315	6530	3162
316	6555	3143
317	6568	3119
318	6590	3098
319	6619	3082
320	6643	3063
321	6666	3043
322	6689	3023
323	6713	3004
324	6740	2986
325	6766	2968
326	6794	2950
327	6822	2932
328	6847	2913
329	6871	2894
330	6892	2873
331	6919	2855
332	6943	2835
333	6950	2809
334	6974	2789
335	7001	2771
336	7029	2753
337	7052	2733
338	7078	2714
339	7101	2694
340	7121	2673
341	7144	2652
342	7165	2632
343	7189	2612
344	7213	2592
345	7240	2574
346	7255	2550
347	7277	2530
348	7278	2502
349	7303	2483
350	7304	2455
351	7327	2435
352	7350	2415
353	7370	2394
354	7394	2374
355	7416	2354
356	7438	2333
357	7460	2313
358	7492	2295
359	7515	2275
360	7537	2254
361	7561	2234
362	7583	2214
363	7611	2195
364	7638	2176
365	7662	2156
366	7692	2137
367	7717	2118
368	7749	2100
369	7774	2080
370	7800	2060
371	7826	2040
372	7855	2021
373	7886	2003
374	7910	1982
375	7936	1962
376	7966	1944
377	7987	1922
378	8010	1902
379	8038	1882
380	8061	1862
381	8084	1841
382	8108	1820
383	8132	1800
384	8161	1780
385	8188	1760
386	8216	1740
387	8241	1720
388	8266	1700
389	8292	1679
390	8319	1659
391	8343	1638
392	8365	1617
393	8387	1596
394	8388	1571
395	8414	1551
396	8436	1530
397	8460	1509
398	8485	1488
399	8508	1467
400	8531	1446
401	8557	1426
402	8585	1406
403	8613	1385
